dataset,roi_a,roi_b,mode,videos,n_windows,median_global_lag_ms,median_global_r,median_residual_lag_ms,median_iqr_lag_ms,median_abs_residual_lag_ms,mean_abs_residual_lag_ms,mode_abs_residual_lag_ms,median_rms_residual_lag_ms,mean_pct_within_1frame,mean_pct_over_1frame,mean_pct_over_2frames,mean_pct_high_r
DATASET_1,right_cheek,chin,filtered,5,361,-7.623525719065149,0.8596426960885933,-0.623081530380117,17.08272465578339,7.9266952689370855,12.487985643151438,6.792283945960993,14.59721622493842,93.81368442362297,6.186315576377027,0.0,87.74251328916236
DATASET_1,right_cheek,chin,unfiltered,5,385,-9.357190616567243,0.7500637947593449,-0.19560439814741615,19.355234545065144,9.440664498822379,13.006386115762917,6.6883687143117845,17.505440196389983,95.99879720569375,4.001202794306243,0.0,56.51074368315748
DATASET_2,forehead,chin,filtered,24,1981,19.18385089013371,0.8157077371810998,0.255353637258741,21.67562305340985,11.197055707467548,14.156406226552344,5.154482015019363,15.847508778424944,92.34016860610087,7.659831393899125,1.010688959172456,76.04291755279846
DATASET_2,forehead,chin,unfiltered,12,977,20.114434849570657,0.7641803459701813,-0.7304837428076971,19.31971115205258,9.658434320850017,11.20321679752002,4.391170443808595,14.347114041709276,96.76015244164891,3.2398475583510975,0.10822510822510822,44.933731705839904
DATASET_2,forehead,left_cheek,filtered,30,2545,20.084203125652067,0.8773597957022248,-0.05768630261335043,18.089408720289875,9.219744528420085,11.625871606507156,3.9407202590206123,13.521302598972952,95.36139248188313,4.638607518116869,0.0411522633744856,83.75302136378168
DATASET_2,forehead,left_cheek,unfiltered,25,2125,18.896158936990602,0.8062553660254632,0.36585868651175524,13.90040702974904,7.259919851176201,9.10993449633928,2.1790270518151797,10.640832242612108,98.63672505344348,1.363274946556529,0.0,63.568552206321364
DATASET_2,forehead,right_cheek,filtered,30,2538,20.008512258774672,0.8678337539750988,0.6054304043642489,15.378427406142782,7.996737228946241,10.75414753622476,2.4812155943072094,13.229495709720226,95.69092359093248,4.3090764090675195,0.0,85.29315129616448
DATASET_2,forehead,right_cheek,unfiltered,23,1915,18.06813056818915,0.7984261417604434,0.9163270503475355,14.520798928385178,7.290007380644448,9.617781645883344,2.3427469142798922,11.455047228931429,97.26999410238327,2.730005897616724,0.0,60.372482881934104
DATASET_2,left_cheek,chin,filtered,18,1556,0.5861635743078075,0.7765259424858675,1.3927132508000373,29.17609735748238,14.466514277214497,16.22198400593601,5.255218885717568,19.155408196046555,89.73272977282298,10.267270227177022,0.8432138037401196,65.07367488975497
DATASET_2,left_cheek,chin,unfiltered,3,265,-15.778889761308433,0.7358837189204566,-1.8066453650847099,16.901385967333187,8.344395592681378,11.776303928297779,5.410859270111279,13.341598034138933,97.02970297029704,2.97029702970297,0.0,34.674419822934674
DATASET_2,left_cheek,right_cheek,filtered,25,2143,-2.6397534518247667,0.8209487140988925,0.16683500902399118,18.56576264553018,10.140814029590276,14.450006912570482,4.2526600006014945,18.448370430040125,90.1180679225134,9.881932077486606,0.4487179487179487,74.77746834565517
DATASET_2,left_cheek,right_cheek,unfiltered,11,967,-3.3169556046883506,0.7752504639250727,-0.20476802510499917,14.098981296358158,7.140031994775953,9.81536414317294,5.105865793595682,12.443334641489393,97.82789157424601,2.172108425753993,0.0,47.799570786767866
DATASET_2,right_cheek,chin,filtered,20,1652,-4.445651749394575,0.7837154142992613,-0.20283373731360133,23.515795116540463,12.652495725648112,16.03308936446756,4.533889594022611,20.241089766890752,89.44197088548285,10.558029114517144,0.8710374874753952,62.608729149729825
DATASET_2,right_cheek,chin,unfiltered,5,471,-7.221873816041284,0.7197082628777953,0.5806491409223883,12.614370054769953,6.484105687890729,10.052559160101998,2.107708204248728,11.690500255919865,95.23333333333332,4.7666666666666675,0.0,38.14684574684575
