dataset,video_id,roi_a,roi_b,mode,gt_hr_bpm,global_lag_ms_precalc,global_r_precalc,global_lag_ms_refined,global_r_refined,n_windows,median_residual_lag_ms,iqr_residual_lag_ms,median_abs_residual_lag_ms,mean_abs_residual_lag_ms,mode_abs_residual_lag_ms,rms_residual_lag_ms,median_r,pct_windows_|lag|<=1frame,pct_windows_|lag|>1frame,pct_windows_|lag|>2frames,pct_windows_r>=0.8
DATASET_2,subject10,forehead,right_cheek,filtered,109.80887351778657,33.333333333333336,0.8672024412214829,33.333333333333336,0.8672024412214829,101,66.66666666666667,0.0,66.66666666666667,65.34653465346537,70.83333333333333,67.97398065587024,0.8726088063819599,17.82178217821782,82.17821782178217,13.861386138613863,100.0
DATASET_2,subject10,forehead,right_cheek,unfiltered,109.80887351778657,33.333333333333336,0.7763218564518338,33.333333333333336,0.7763218564518338,101,66.66666666666667,0.0,66.66666666666667,66.00660066006603,70.83333333333333,68.29689924619319,0.7656168448225914,14.85148514851485,85.14851485148515,12.871287128712872,21.782178217821784
DATASET_2,subject10,left_cheek,chin,filtered,109.80887351778657,0.0,0.8373544081755894,0.0,0.8373544081755894,101,0.0,0.0,0.0,8.910891089108912,2.0833333333333335,17.234549688642783,0.8656572805838055,100.0,0.0,0.0,89.10891089108911
DATASET_2,subject10,left_cheek,right_cheek,filtered,109.80887351778657,0.0,0.8641853231733846,0.0,0.8641853231733846,101,0.0,0.0,0.0,8.250825082508252,2.0833333333333335,16.583953170166488,0.8856084408036411,100.0,0.0,0.0,98.01980198019803
DATASET_2,subject10,left_cheek,right_cheek,unfiltered,109.80887351778657,0.0,0.7776334500297208,0.0,0.7776334500297208,101,0.0,0.0,0.0,6.270627062706271,2.0833333333333335,14.457555190633341,0.7823276083633661,100.0,0.0,0.0,40.5940594059406
DATASET_2,subject10,right_cheek,chin,filtered,109.80887351778657,0.0,0.7900250564401945,0.0,0.7900250564401945,101,0.0,0.0,0.0,15.841584158415841,4.166666666666667,26.116435568826812,0.8289297944609673,93.06930693069307,6.9306930693069315,0.0,60.396039603960396
DATASET_2,subject12,forehead,left_cheek,filtered,65.96596229260935,33.333333333333336,0.939356367545803,33.333333333333336,0.939356367545803,59,66.66666666666667,0.0,66.66666666666667,60.45197740112994,64.28571428571429,61.83021525023807,0.9430311655158959,18.64406779661017,81.35593220338984,0.0,100.0
DATASET_2,subject12,forehead,left_cheek,unfiltered,65.96596229260935,0.0,0.8842913224067731,0.0,0.8842913224067731,61,33.333333333333336,33.333333333333336,33.333333333333336,19.12568306010929,30.952380952380953,25.249213228738626,0.897392201517315,100.0,0.0,0.0,100.0
DATASET_2,subject12,forehead,right_cheek,filtered,65.96596229260935,0.0,0.9663660526840163,0.0,0.9663660526840163,59,0.0,0.0,0.0,0.5649717514124294,2.380952380952381,4.339630366027463,0.9726160611290833,100.0,0.0,0.0,100.0
DATASET_2,subject12,forehead,right_cheek,unfiltered,65.96596229260935,0.0,0.9327882982172505,0.0,0.9327882982172505,61,0.0,0.0,0.0,0.0,0.0,0.0,0.9363532451533224,100.0,0.0,0.0,100.0
