video_id,video_path,roi_a,roi_b,mode,global_lag_ms,global_r,n_windows,median_residual_lag_ms,iqr_residual_lag_ms,pct_windows_|lag|<=1frame,pct_windows_r>=0.8
6-gt,UBFC_DATASET_MERGED/DATASET_1\6-gt\vid.avi,forehead,right_cheek,unfiltered,-10.041975662742136,0.7518618196260191,77,6.4206555998818375,20.898037813812714,93.5064935064935,45.45454545454545
6-gt,UBFC_DATASET_MERGED/DATASET_1\6-gt\vid.avi,forehead,right_cheek,filtered,-7.9573866259904,0.8604995278037468,77,5.576643531743683,23.07026474474263,90.9090909090909,90.9090909090909
6-gt,UBFC_DATASET_MERGED/DATASET_1\6-gt\vid.avi,left_cheek,right_cheek,unfiltered,-1.2222313197828072,0.607830838025277,84,-1.9603113157833434,23.06606450036715,84.52380952380952,5.952380952380952
6-gt,UBFC_DATASET_MERGED/DATASET_1\6-gt\vid.avi,left_cheek,right_cheek,filtered,-3.903649284255254,0.7475665371948548,78,-3.056731684768639,29.00573120309132,80.76923076923077,50.0
7-gt,UBFC_DATASET_MERGED/DATASET_1\7-gt\vid.avi,forehead,left_cheek,unfiltered,30.54446206411671,0.8037394935178338,89,1.9521720351352616,10.170243375425752,100.0,75.28089887640449
7-gt,UBFC_DATASET_MERGED/DATASET_1\7-gt\vid.avi,forehead,left_cheek,filtered,32.462983177553006,0.8964272465876142,89,2.078296557558268,11.068464450311694,100.0,100.0
7-gt,UBFC_DATASET_MERGED/DATASET_1\7-gt\vid.avi,forehead,right_cheek,unfiltered,26.106502906594052,0.7471175321280987,89,0.4567888843265718,15.77947987905975,98.87640449438202,14.606741573033707
7-gt,UBFC_DATASET_MERGED/DATASET_1\7-gt\vid.avi,forehead,right_cheek,filtered,28.910607131982797,0.8509538655743393,89,-1.386021446340191,14.653102757316269,100.0,97.75280898876404
7-gt,UBFC_DATASET_MERGED/DATASET_1\7-gt\vid.avi,left_cheek,right_cheek,unfiltered,-1.0465075488070852,0.7333156903514709,93,-0.29282650749091016,22.085326038484062,100.0,46.236559139784944
7-gt,UBFC_DATASET_MERGED/DATASET_1\7-gt\vid.avi,left_cheek,right_cheek,filtered,-0.8692062995717601,0.8371027793616258,89,0.059768041399947215,20.56518639218662,100.0,79.7752808988764
8-gt,UBFC_DATASET_MERGED/DATASET_1\8-gt\vid.avi,forehead,left_cheek,unfiltered,36.04197867886789,0.866735872450095,63,-0.48767936526574,15.809689838844022,98.4126984126984,93.65079365079364
8-gt,UBFC_DATASET_MERGED/DATASET_1\8-gt\vid.avi,forehead,left_cheek,filtered,34.531546500228316,0.9362347116392622,59,-1.0444956349315266,22.384557003367135,100.0,100.0
8-gt,UBFC_DATASET_MERGED/DATASET_1\8-gt\vid.avi,forehead,right_cheek,unfiltered,32.95555595358793,0.8289428917894466,63,-0.2226996820617444,10.879406126604296,98.4126984126984,84.12698412698413
8-gt,UBFC_DATASET_MERGED/DATASET_1\8-gt\vid.avi,forehead,right_cheek,filtered,30.931148082359528,0.9286270672631406,59,-0.16734932672255454,7.367832639839407,100.0,100.0
8-gt,UBFC_DATASET_MERGED/DATASET_1\8-gt\vid.avi,left_cheek,right_cheek,unfiltered,-0.4232112683973573,0.7902560628680112,69,-1.1719504907611384,13.536999916727943,100.0,60.86956521739131
8-gt,UBFC_DATASET_MERGED/DATASET_1\8-gt\vid.avi,left_cheek,right_cheek,filtered,-3.321133384271313,0.9076508412178547,59,-1.895661254065839,18.427822529803365,100.0,100.0
after-exercise,UBFC_DATASET_MERGED/DATASET_1\after-exercise\vid.avi,forehead,left_cheek,unfiltered,31.504987541808305,0.7842345690795117,109,-1.9186035969796993,10.799233435217914,100.0,36.69724770642202
after-exercise,UBFC_DATASET_MERGED/DATASET_1\after-exercise\vid.avi,forehead,left_cheek,filtered,31.73525579434653,0.8874718073481893,108,-2.257405457528957,10.564052708392733,100.0,99.07407407407408
after-exercise,UBFC_DATASET_MERGED/DATASET_1\after-exercise\vid.avi,forehead,right_cheek,unfiltered,24.69752778744585,0.831070124277935,109,-0.37646204183550874,8.734474324793299,100.0,78.89908256880734
after-exercise,UBFC_DATASET_MERGED/DATASET_1\after-exercise\vid.avi,forehead,right_cheek,filtered,25.212381092381143,0.9168634899441905,108,-0.9448364882553036,7.2098834775452385,100.0,87.03703703703704
after-exercise,UBFC_DATASET_MERGED/DATASET_1\after-exercise\vid.avi,left_cheek,right_cheek,unfiltered,-6.756044540373314,0.7715930102866211,110,3.721994207097164,15.676960252846133,100.0,46.36363636363636
after-exercise,UBFC_DATASET_MERGED/DATASET_1\after-exercise\vid.avi,left_cheek,right_cheek,filtered,-7.501623534485388,0.88202634144308,109,3.3799020070325536,13.846709488157938,100.0,93.57798165137615
